Iteration,Rank
0,7
1,5
2,5
3,6
4,2
5,3
6,1
7,2
8,3
9,6
10,5
11,6
12,3
13,8
14,7
15,1
16,6
17,7
18,3
19,2
20,6
21,6
22,3
23,4
24,6
25,5
26,3
27,5
28,4
29,1
30,7
31,2
32,8
